PMID	Title	Abstract	Author	Affiliation	Journal	Date
26502412	Prevention of Lower Extremity Injuries in Basketball: A Systematic Review and	"CONTEXT: Lower extremity injuries are common in basketball, yet it is unclear how prophylactic interventions affect lower extremity injury incidence rates. OBJECTIVE:
To analyze the effectiveness of current lower extremity injury prevention programs
in basketball athletes, focusing on injury rates of (1) general lower extremity
injuries, (2) ankle sprains, and (3) anterior cruciate ligament (ACL) tears. DATA
SOURCES: PubMed, MEDLINE, CINAHL, SPORTDiscus, and the Cochrane Register of
Controlled Trials were searched in January 2015. STUDY SELECTION: Studies were
included if they were randomized controlled or prospective cohort trials, contained
a population of competitive basketball athletes, and reported lower extremity injury
incidence rates specific to basketball players. In total, 426 individual studies
were identified. Of these, 9 met the inclusion criteria. One other study was found
during a hand search of the literature, resulting in 10 total studies included in
this meta-analysis. STUDY DESIGN: Systematic review and meta-analysis. LEVEL OF
EVIDENCE: Level 2. DATA EXTRACTION: Details of the intervention (eg, neuromuscular
vs external support), size of control and intervention groups, and number of
injuries in each group were extracted from each study. Injury data were classified
into 3 groups based on the anatomic diagnosis reported (general lower extremity
injury, ankle sprain, ACL rupture). RESULTS: Meta-analyses were performed
independently for each injury classification. Results indicate that prophylactic
programs significantly reduced the incidence of general lower extremity injuries
(odds ratio [OR], 0.69; 95% CI, 0.57-0.85; P < 0.001) and ankle sprains (OR, 0.45;
95% CI, 0.29-0.69; P < 0.001), yet not ACL ruptures (OR, 1.09; 95% CI, 0.36-3.29; P
= 0.87) in basketball athletes. CONCLUSION: In basketball players, prophylactic
programs may be effective in reducing the risk of general lower extremity injuries
and ankle sprains, yet not ACL injuries.
"	Taylor JB|Ford KR|Nguyen AD|Terry LN|Hegedus EJ	High Point University	Sports health	10/27/15 6:00
26512912	Evidence-based post-exercise recovery strategies in basketball.	"Basketball can be described as a moderate-to-long duration exercise including repeated bouts of high-intensity activity interspersed with periods of low to
moderate active recovery or passive rest. A match is characterized by repeated
explosive activities, such as sprints, jumps, shuffles and rapid changes in
direction. In top-level modern basketball, players are frequently required to play
consecutive matches with limited time to recover. To ensure adequate recovery after
any basketball activity (i.e., match or training), it is necessary to know the type
of fatigue induced and, if possible, its underlying mechanisms. Despite limited
scientific evidence to support their effectiveness in facilitating optimal recovery,
certain recovery strategies are commonly utilized in basketball. It is particularly
important to optimize recovery because players spend a much greater proportion of
their time recovering than they do in training. Therefore, the main aim of this
report is to facilitate useful information that may lead to practical application,
based on the scientific evidence and applied knowledge specifically in basketball.
"	Calleja-González J|Terrados N|Mielgo-Ayuso J|Delextrat A|Jukic I|Vaquera A|Torres L|Schelling X|Stojanovic M|Ostojic SM	Center for Health	The Physician and sportsmedicine	10/30/15 6:00
29401204	Power Testing in Basketball: Current Practice and Future Recommendations.	"Wen, N, Dalbo, VJ, Burgos, B, Pyne, DB, and Scanlan, AT. Power testing in basketball: Current practice and future recommendations. J Strength Cond Res 32(9):
2686-2700, 2018-Numerous foundational movements performed during basketball are
predicated on underlying power-related attributes, including speed,
change-of-direction (COD), and jumping. Accordingly, fitness testing batteries for
basketball have incorporated an assortment of linear speed tests, COD tests, and
jump tests. However, because of the wide variety of testing options, it is difficult
for basketball practitioners to select appropriate testing protocols for the
assessment of power-related attributes. As a result, there is a need to review the
relevant literature to identify game-specific, power-related attributes important in
basketball and the most appropriate tests available to assess power-related
attributes for basketball practitioners. Therefore, the aims of this review were to:
(a) identify essential power-related attributes important in basketball; (b) discuss
the suitability of common and novel power-related tests; and (c) provide
recommendations for future research and best practice approaches for basketball
coaching staff. In this review, we propose a series of novel tests that are more
targeted and specific to basketball movements including: (a) 5- and 10-m linear
sprints, (b) modified agility T-test, (c) change-of-direction deficit (CODD), (d)
lateral bound, (e) Sargent jump, (f) one-step jump, and (g) isometric midthigh pull
test. Improved testing of power-related attributes should enable basketball
practitioners to develop targeted training plans for enhancing player performance.
"	Wen N|Dalbo VJ|Burgos B|Pyne DB|Scanlan AT	Central Queensl University	Journal of strength and conditioning research	2/6/18 6:00
26102462	A review on the basketball jump shot.	"The ability to shoot an effective jump shot in the sport of basketball is critical to a player's success. In an attempt to better understand the aspects related to
expert performance, researchers have investigated successful free throws and jump
shots of various basketball players and identified movement variables that
contribute to their success. The purpose of this study was to complete a systematic
review of the scientific literature on the basketball free throw and jump shot for
the purpose of revealing the critical components of shooting that coaches, teachers,
and players should focus on when teaching, learning, practising, and performing a
jump shot. The results of this review are presented in three sections: (a) variables
that affect ball trajectory, (b) phases of the jump shot, and
"	Okazaki VH|Rodacki AL|Satern MN	Londrina State University	Sports biomechanics	6/24/15 6:00
16247261	Basketball injuries.	"OBJECTIVE: To identify and quantify, to the best extent possible from the existing literature, injury characteristics and factors (risk; protective) associated with
injury in young basketball players. DATA SOURCES: Database searches principally
involving Medline and SportDiscus. In addition, web-based searching and filtering of
the reference lists of papers found in the preliminary searches were utilized. MAIN
RESULTS: Few well-controlled studies of this population have been conducted.
However, from the information available: basketball is the most frequent cause of
sports-related emergency department visits for youth and adolescents; the risk of
being injured in a game is greater than for practice; girls are more likely to be
injured than boys, especially with knee and ankle injuries and the knee injuries are
more likely to be severe; acute injuries are more common than chronic;
strains/sprains are the most common types of injuries but overall time loss is
minimal, indicating that the majority of pediatric basketball injuries are minor
(less than 7 days away from activity). Intervention studies show that: mouthguards
reduce orofacial/dental injuries; mouthguard use can be increased in young players;
neuromuscular training can reduce the incidence of knee injuries in female
participants; postural sway is related to risk of ankle injury. CONCLUSIONS: The
current state of epidemiological research involving youth and adolescent basketball
injuries is poor. With an increasing number of young participants, in situations
ranging from informal play and physical education classes to organized community and
school teams, the need for comprehensive and authoritative information on risk and
protective factors is significant.
"	Harmer PA	Willamette University	Medicine and sport science	10/26/05 9:00
29140908	Heart Rate Monitoring in Basketball: Applications, Player Responses, and Practical	"Berkelmans, DM, Dalbo, VJ, Kean, CO, Milanović, Z, Stojanović, E, Stojiljković, N, and Scanlan, AT. Heart rate monitoring in basketball: applications, player
responses, and practical recommendations. J Strength Cond Res 32(8): 2383-2399,
2018-The aims of this review were to collate the existing literature encompassing
heart rate (HR) monitoring in basketball to (a) identify the applications of HR
measurement; (b) report HR responses in male and female players during training and
game-play; (c) evaluate use of current HR-based training load models; and (d)
provide recommendations for future research and best practice approaches for
basketball practitioners. Heart rate monitoring in basketball carries 3 primary
applications: (a) monitoring exercise intensity; (b) assessing player fatigue
status; and (c) quantifying internal training load. When interpreting the available
training and game-play HR data in basketball players, key differences have been
observed between playing positions and playing levels. Sex- and age-based
differences in HR responses during basketball training and game-play are apparent
across separate studies; however, further research exploring HR responses in wider
player groups is needed, especially in female and junior players. There is also a
lack of research directly comparing player HR responses during training and
game-play to ascertain the effectiveness of different drills in preparing players
for competition. Heart rate-based models have been frequently used to quantify the
internal training load in basketball players, including Banister's Training Impulse
(TRIMP), Lucia's TRIMP, and Edwards' Summated-Heart-Rate-Zones (SHRZ). The SHRZ
model seems to hold practical advantages and better detect changes in player
responses across training cycles compared with other approaches. Practical outcomes
of this review center on recommendations for position-specific training plans,
drills to promote desired cardiovascular stress, analysis of HR outcome measures,
and ideal training load monitoring approaches.
"	Berkelmans DM|Dalbo VJ|Kean CO|Milanović Z|Stojanović E|Stojiljković N|Scanlan AT	Central Queensl University	Journal of strength and conditioning research	11/16/17 6:00
30942645	Sport science applied to basketball refereeing: a narrative review.	"Objectives: The present review provides a summary of basketball referees' game activities, fitness assessment, cognitive function, and energy expenditure (EE)
during official games.Methods: Analyzing the literature on basketball referees.
Literature review conducted using Pub Med, WOK, SCOPUS, and Google Scholar, with
search criteria including the terms 'referees', 'game officials', 'basketball' and
performance terms such as 'physiological', 'physical demands', 'decision-making',
and 'mental fatigue'.Results: the relevant studies (n = 19) showed that referees
cover ~5000 m during a game with mean heart rates (HR) of ~140 beats.min(-1) (>75%
HR(max)) and oxygen uptake (VO(2)) of ~52 ml.min(-1).kg(-1) (~86.19% VO(2)max). The
YO-YO intermittent recovery test level 1 (YO-YO-IRT1) performance has revealed a
direct validity to assess the intermittent aerobic activity as it was correlated to
the on-field activity of the referees. The estimated referees' EE during a game
exceeds 500 kcal (~5 kcal.kg-1.h(-1)). The threshold of low intensity and high
intensity could be considered as lower than 3.8 METs and higher than 9.8 METs,
respectively. The physical abilities of referees decrease gradually with the
chronological age. However, older referees (>32 years old) have a significantly
better quality of officiating than young referees. The perceptual-cognitive demands
of basketball refereeing are also discussed in the present review.Conclusion:
Basketball referees' game-analysis showed an intermittent activity (~1:12 ratio of
high-intensity effort/recovery). The YO-YO-IRT1 could be used as a specific fitness
test to estimate their aerobic capacity. The referees' EE showed a ""moderate energy
intensity"" when expressed by the metabolic equivalent (~5 METs). A specific training
program should be prescribed for the referees, taking into consideration their age.
The cognitive processes influencing basketball referees' decisions should be studied
in further researches.
"	Nabli MA|Ben Abdelkrim N|Fessi MS|DeLang MD|Moalla W|Chamari K	Qatar Orthopaedic  Sports Medicine Hospital	The Physician and sportsmedicine	4/4/19 6:00
27364907	Injuries sustained in National Collegiate Athletic Association men's and women's	"BACKGROUND/AIM: Recent rule changes regarding the safety of basketball athletes necessitate up-to-date reports of injury incidence. This study describes the
epidemiology of injuries in men's and women's National Collegiate Athletic
Association (NCAA) basketball during the 2009/2010-2014/2015 seasons. METHODS:
Basketball injury data originate from the 2009/2010-2014/2015 academic years from
the NCAA Injury Surveillance Program (NCAA-ISP) from 78 men's and 74 women's NCAA
basketball programmes which provided 176 and 181 team-seasons, respectively. A
reportable injury occurred during organised practice or competition and required
attention from an athletic trainer (AT) or physician. Injury rates, injury
proportions and rate ratios (RRs) were calculated. All 95% CIs not containing 1.0
were considered statistically significant. RESULTS: A total of 2308 and 1631
injuries were reported in men's and women's basketball, respectively, for injury
rates of 7.97 and 6.54/1000 athlete-exposures (AEs). The rate was higher in men than
women (RR=1.22; 95% CI 1.15 to 1.30). Non-time-loss (NTL) injuries (resulting in
participation restriction time under 24 hours) accounted for 64.8% and 53.6% of
men's competition and practice injuries, respectively, and 53.9% and 51.3% of
women's competition and practice injuries, respectively. Injuries to the lower
extremity were the most common in competitions (men: 54.9%; women: 59.0%) and
practices (men: 62.4%; women: 67.3%). The most common injury in men's and women's
basketball was ankle sprain (17.9% and 16.6%, respectively). CONCLUSIONS: NTL
injuries account for over half of all injuries in basketball. Most injuries were
lower extremity injuries, specifically ankle sprains. While rule changes have been
implemented to make basketball safer, continued research is needed to assess the
effectiveness of these changes.
"	Zuckerman SL|Wegner AM|Roos KG|Djoko A|Dompier TP|Kerr ZY	Datalys Center for Sports Injury Research  Prevention	British journal of sports medicine	7/2/16 6:00
28445227	A Review of Player Monitoring Approaches in Basketball: Current Trends and Future	"Fox, JL, Scanlan, AT, and Stanton, R. A review of player monitoring approaches in basketball: current trends and future directions. J Strength Cond Res 31(7):
2021-2029, 2017-Effective monitoring of players in team sports such as basketball
requires an understanding of the external demands and internal responses, as they
relate to training phases and competition. Monitoring of external demands and
internal responses allows coaching staff to determine the dose-response associated
with the imposed training load (TL), and subsequently, if players are adequately
prepared for competition. This review discusses measures reported in the literature
for monitoring the external demands and internal responses of basketball players
during training and competition. The external demands of training and competition
were primarily monitored using time-motion analysis, with limited use of
microtechnology being reported. Internal responses during training were typically
measured using hematological markers, heart rate, various TL models, and perceptual
responses such as rating of perceived exertion (RPE). Heart rate was the most
commonly reported indicator of internal responses during competition with limited
reporting of hematological markers or RPE. These findings show a large discrepancy
between the reporting of external and internal measures and training and competition
demands. Microsensors, however, may be a practical and convenient method of player
monitoring in basketball to overcome the limitations associated with current
approaches while allowing for external demands and internal responses to be recorded
simultaneously. The triaxial accelerometers of microsensors seem well suited for
basketball and warrant validation to definitively determine their place in the
monitoring of basketball players. Coaching staff should make use of this technology
by tracking individual player responses across the annual plan and using real-time
monitoring to minimize factors such as fatigue and injury risk.
"	Fox JL|Scanlan AT|Stanton R	Central Queensl University|Central Queensl University	Journal of strength and conditioning research	4/27/17 6:00
26259551	Motor learning strategies in basketball players and its implications for ACL injury	"PURPOSE: Adding external focus of attention (EF, focus on the movement effect) may optimize current anterior cruciate ligament (ACL) injury prevention programmes. The
purpose of the current study was to investigate the effects of an EF, by a visual
stimulus and an internal focus, by a verbal stimulus during unexpected sidestep
cutting in female and male athletes and how these effects remained over time.
METHODS: Ninety experienced basketball athletes performed sidestep cutting
manoeuvres in three sessions (S1, S2 and S3). In this randomized controlled trial,
athletes were allocated to three groups: visual (VIS), verbal (VER) and control
(CTRL). Kinematics and kinetics were collected at the time of peak knee frontal
plane moment. RESULTS: Males in the VIS group showed a larger vertical ground
reaction force (S1: 25.4 ± 3.1 N/kg, S2: 25.8 ± 2.9 N/kg, S3: 25.2 ± 3.2 N/kg) and
knee flexion moments (S1: -3.8 ± 0.9 Nm/kg, S2: -4.0 ± 1.2 Nm/kg, S3: -3.9 ± 1.3
Nm/kg) compared to the males in the VER and CTRL groups and to the females in the
VIS group (p < 0.05). Additionally, the males in the VIS group reduced knee valgus
moment and the females in the VER group reduced knee varus moment over time (n.s.).
CONCLUSION: Male subjects clearly benefit from visual feedback. Females may need
different feedback modes to learn a correct movement pattern. Sex-specific learning
preferences may have to be acknowledged in day by day practice. Adding video
instruction or feedback to regular training regimens when teaching athletes safe
movement patterns and providing individual feedback might target suboptimal
long-term results and optimize ACL injury prevention programmes. LEVEL OF EVIDENCE:
I.
"	Benjaminse A|Otten B|Gokeler A|Diercks RL|Lemmink KAPM	University Medical Center Groningen	Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA	8/12/15 6:00
